"Iowa",13,454,1485,3.27,13,114.23,11,2,0
"Western Mich.",12,344,1348,3.92,13,112.33,5,7,0
"Kansas",12,379,1345,3.55,20,112.08,5,7,0
"Ohio",14,455,1568,3.45,9,112,9,5,0
"SMU",13,378,1427,3.78,23,109.77,8,5,0
"Rice",12,407,1311,3.22,14,109.25,2,10,0
"Maryland",12,410,1269,3.1,13,105.75,2,10,0
"Tulane",12,395,1264,3.2,10,105.33,3,9,0
"FIU",12,423,1251,2.96,19,104.25,3,9,0
"Baylor",12,346,1207,3.49,16,100.58,4,8,0
"Hawaii",13,292,1306,4.47,12,100.46,6,7,0
"New Mexico",12,361,1203,3.33,8,100.25,1,11,0
"Minnesota",13,430,1293,3.01,13,99.46,6,7,0
"Virginia",12,410,1189,2.9,15,99.08,3,9,0
"Colorado",12,379,1055,2.78,14,87.92,3,9,0
"Bowling Green",13,360,1125,3.13,19,86.54,7,6,0
"Texas Tech",13,319,1092,3.42,24,84,9,4,0
"San Diego St.",12,328,940,2.87,8,78.33,4,8,0
"San Jose St.",12,351,920,2.62,8,76.67,2,10,0
"Washington St.",12,354,848,2.4,5,70.67,1,11,0
"Miami (OH)",12,352,841,2.39,9,70.08,1,11,0
"Duke",12,339,762,2.25,6,63.5,5,7,0
