"Rice",12,452,248,17,54.87,2344,5.19,14,195.33,3.76,9.45,2,10,0
"South Fla.",13,297,168,12,56.57,2531,8.52,20,194.69,4.04,15.07,8,5,0
"Arkansas St.",12,330,192,12,58.18,2323,7.04,10,193.58,3.64,12.1,4,8,0
"Illinois",12,331,184,12,55.59,2317,7,15,193.08,3.63,12.59,3,9,0
"Clemson",14,390,220,13,56.41,2688,6.89,23,192,3.33,12.22,9,5,0
"Rutgers",13,327,165,10,50.46,2495,7.63,15,191.92,3.06,15.12,9,4,0
"West Virginia",13,347,220,10,63.4,2484,7.16,12,191.08,2.88,11.29,9,4,0
"Louisiana Tech",12,320,188,5,58.75,2257,7.05,19,188.08,1.56,12.01,4,8,0
"Alabama",14,346,212,5,61.27,2631,7.6,17,187.93,1.45,12.41,14,0,0
"Boston College",13,351,177,18,50.43,2431,6.93,21,187,5.13,13.73,8,5,0
"Iowa St.",13,380,220,17,57.89,2401,6.32,16,184.69,4.47,10.91,7,6,0
"Virginia Tech",13,249,137,5,55.02,2391,9.6,14,183.92,2.01,17.45,10,3,0
"Akron",12,342,190,13,55.56,2190,6.4,12,182.5,3.8,11.53,3,9,0
"LSU",13,336,198,8,58.93,2363,7.03,19,181.77,2.38,11.93,9,4,0
"Oregon",13,338,197,7,58.28,2344,6.93,16,180.31,2.07,11.9,10,3,0
"Oklahoma St.",13,336,196,14,58.33,2333,6.94,20,179.46,4.17,11.9,9,4,0
"Washington St.",12,372,195,16,52.42,2135,5.74,11,177.92,4.3,10.95,1,11,0
"Nebraska",14,364,210,12,57.69,2460,6.76,16,175.71,3.3,11.71,10,4,0
"North Carolina",13,368,220,17,59.78,2274,6.18,14,174.92,4.62,10.34,8,5,0
"Ohio St.",13,316,174,11,55.06,2257,7.14,19,173.62,3.48,12.97,11,2,0
"Wyoming",13,410,225,7,54.88,2252,5.49,11,173.23,1.71,10.01,7,6,0
"Virginia",12,363,189,8,52.07,2046,5.64,8,170.5,2.2,10.83,3,9,0
"Kansas St.",12,298,175,8,58.72,2033,6.82,7,169.42,2.68,11.62,6,6,0
"Nevada",13,293,170,6,58.02,2089,7.13,21,160.69,2.05,12.29,8,5,0
"Eastern Mich.",12,327,175,16,53.52,1825,5.58,9,152.08,4.89,10.43,0,12,0
"Northern Ill.",13,274,168,8,61.31,1950,7.12,14,150,2.92,11.61,7,6,0
"Western Ky.",12,313,181,12,57.83,1775,5.67,11,147.92,3.83,9.81,0,12,0
"Temple",13,280,133,14,47.5,1904,6.8,13,146.46,5,14.32,9,4,0
"Vanderbilt",12,352,170,10,48.3,1756,4.99,6,146.33,2.84,10.33,2,10,0
"Mississippi St.",12,266,153,17,57.52,1732,6.51,9,144.33,6.39,11.32,5,7,0
"Kentucky",13,326,180,11,55.21,1824,5.6,13,140.31,3.37,10.13,7,6,0
"Ball St.",12,314,160,14,50.96,1613,5.14,9,134.42,4.46,10.08,2,10,0
"Georgia Tech",14,168,78,6,46.43,1774,10.56,11,126.71,3.57,22.74,11,3,0
"Air Force",13,153,77,3,50.33,1149,7.51,8,88.38,1.96,14.92,8,5,0
"New Mexico St.",13,269,133,18,49.44,1141,4.24,6,87.77,6.69,8.58,3,10,0
"Navy",14,110,58,4,52.73,1058,9.62,6,75.57,3.64,18.24,10,4,0
"Army",12,161,73,5,45.34,861,5.35,5,71.75,3.11,11.79,5,7,0
